ID,Dominant,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,PC
22,1,2.0,27.1,169.1666081,6076,5297,5281,4951,6081,4.645928686,1
22,0,2.0,34.86,152.6872694,8783,8362,6265,6202,5671,4.744968219,1
2,1,8.0,33.675,159.5219931,9964,5189,3844,6985,8799,5.530178173,1
2,0,8.0,33.52,202.478321,10700,7031,7202,4529,5226,5.077872167,1
23,1,6.0,55.685,118.2193641,14723,14370,9923,11015,8969,4.760513569,1
23,0,6.0,64.04,147.6283338,12419,12482,12922,15785,11436,4.607352931,1
24,1,4.0,34.44,95.91061894,6595,6295,5954,8564,7577,4.314505928,1
24,0,4.0,56.39,116.9542667,15704,9671,9422,11967,10534,4.485150212,1
25,1,3.5,30.555,169.1722785,6826,6928,3545,5909,8512,4.98326462,1
25,0,3.5,43.12,141.033592,9770,13637,6907,8814,6718,4.569689713,1
26,1,2.5,100.71,113.144926,26157,20984,11228,26718,20975,4.276353387,1
26,0,2.5,67.585,113.6731778,21924,12336,13578,14258,10902,4.179629635,1
27,1,6.5,18.475,313.5909075,5435,2736,2408,2377,3176,4.083873109,1
27,0,6.5,20.0,228.8166907,5293,4950,4692,3221,3089,4.312123141,1
28,1,9.0,66.11,162.5325879,19413,15606,5145,13651,14567,4.453061896,1
28,0,9.0,103.96,157.5680215,27492,24698,16053,19036,19696,5.12088906,1
29,1,12.0,67.465,121.2311928,14630,24760,10985,14207,12403,4.601297533,1
29,0,12.0,75.685,84.78674349,17253,12535,11256,18855,23955,4.242421656,1
30,1,2.5,23.925,160.161858,5096,3650,2907,6494,6768,4.414180578,1
30,0,2.5,31.29,145.4151743,3071,6002,5888,9613,6895,4.354440479,1
31,1,2.5,38.315,118.7718966,7433,5697,9116,9365,8012,4.715581092,1
31,0,2.5,43.07,164.5880983,8964,10535,7358,10488,7235,4.146146338,1
32,1,3.0,60.575,136.590633,13891,15249,9059,15055,12242,4.129227885,1
32,0,3.0,65.755,102.0550729,17452,13656,12310,13815,11141,4.147548275,1
3,1,3.0,20.095,148.8279623,3793,3500,3287,6308,3644,4.867352551,1
3,0,3.0,22.82,265.7744532,7264,8012,1515,1971,4031,5.289937242,1
33,1,3.0,39.625,118.6224898,6618,13119,3271,3677,9624,4.939012735,1
33,0,3.0,39.385,135.7889625,9316,4174,4409,12499,9985,4.982972526,1
34,1,10.0,97.04,149.4579817,18602,22959,12941,23684,23586,4.366355237,1
34,0,10.0,116.375,115.0453274,38682,21113,22631,24925,18300,4.269375597,1
35,1,0.5,74.0,137.3866706,19121,13214,14646,14684,15758,4.188490651,1
35,0,0.5,83.24,128.9775811,22613,13836,12814,23672,20275,4.198609456,1
38,1,14.0,26.145,152.9712538,5799,5289,9915,4538,4470,4.566778022,1
38,0,14.0,44.24,156.1738098,10837,14117,6231,8176,6935,4.991849342,1
39,1,12.5,30.595,130.4667959,6479,8940,5709,7249,3030,4.844499519,1
39,0,12.5,36.155,157.4711263,4196,15183,15222,2323,2321,4.837512453,1
40,1,3.0,31.79,197.9197089,9184,4654,4293,6389,7690,4.265727161,1
40,0,3.0,56.9,131.6642576,17095,13920,19961,2252,4981,4.750181712,1
41,1,15.0,19.18,184.885401,5360,3857,3513,4113,3875,4.083803755,1
41,0,15.0,21.15,208.6271721,4415,5438,4450,4628,4407,4.077821807,1
42,1,6.5,28.955,1486.561132,3531,12980,4331,6718,13562,3.802970337,1
42,0,6.5,51.495,279.1313217,15633,23384,10503,8968,4086,5.523261728,1
4,1,3.5,20.685,168.4030455,5865,4248,4039,4451,4342,4.900840234,1
4,0,3.5,14.7,345.6308816,3013,1641,1202,2857,7425,6.015625988,1
43,1,12.5,38.94,116.8601403,9795,7205,5358,8287,10145,4.178636112,1
43,0,12.5,43.53,122.4856099,13595,8515,9625,7131,7667,5.122108174,1
44,1,2.0,41.77,171.0718152,8085,5435,3946,16814,9347,4.680773046,1
44,0,2.0,39.47,136.0691618,9522,11486,6995,7043,6357,4.159258811,1
45,1,1.5,64.285,105.8180826,13302,12870,10880,18167,12756,4.191569426,1
45,0,1.5,113.05,113.3827739,40836,16950,19693,31818,23624,8.414403343,1
46,1,7.0,27.94,115.4196822,5111,2868,4590,5568,7279,4.540784701,1
46,0,7.0,38.59,95.60487312,10455,7819,7444,7771,7024,4.18518723,1
47,1,5.5,85.51,224.4316825,24740,19424,16140,21123,17369,6.202685631,1
47,0,5.5,97.97,183.6856624,17283,27392,21922,13810,21009,30.25668319,1
48,1,3.5,51.495,213.1023949,10167,13787,12547,8802,6583,5.120178151,1
48,0,3.5,40.59,485.7450085,7411,10001,10729,1440,24004,3.253854588,1
49,1,8.0,33.97,92.82966697,7279,8829,8791,3093,5083,4.158825374,1
49,0,8.0,40.505,130.5251112,10564,11359,7956,6492,6201,4.510080395,1
50,1,3.5,76.92,112.8087228,19557,13941,15945,18086,15613,4.296453865,1
50,0,3.5,86.305,150.1727352,36296,18761,18229,12617,11839,4.850979333,1
5,1,7.0,31.33,193.6573036,8041,4859,6816,7135,3640,4.787626003,1
5,0,7.0,28.43,198.9291787,7363,6061,6782,3624,5203,4.866861387,1
51,1,0.5,34.15,238.1388671,4192,10179,7060,7297,7239,4.44223382,1
51,0,0.5,32.995,188.2600645,8761,3315,6671,7180,7672,4.71681727,1
52,1,1.0,34.565,119.0806111,5694,6065,4491,11304,9098,4.436528341,1
52,0,1.0,51.075,112.5856533,14320,8397,9008,12368,10806,4.558257958,1
53,1,7.0,66.165,94.62894863,12129,13939,9598,19401,16451,4.142826702,1
53,0,7.0,62.64,142.6358656,21606,10874,9130,12681,12251,4.302327428,1
54,1,8.0,19.22,188.7139704,5482,3631,2537,3769,3907,4.044741966,1
