ID,Dominant,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,PC
21,1,7.0,36.255,128.1467678,8282,6389,5986,7701,9393,4.715063748,1
21,0,7.0,43.745,140.7225507,8592,13657,7361,9030,7124,4.75720384,1
22,1,2.0,28.88,141.7212462,4971,5326,5422,5829,7061,4.723626407,1
22,0,2.0,33.885,170.0993611,7550,7766,6859,6234,6044,4.699427035,1
2,1,8.0,28.58,169.2645754,7060,5078,4834,5969,6811,5.480881264,1
2,0,8.0,29.665,146.2192353,12084,6215,3628,5421,5827,5.556232034,1
23,1,6.0,59.245,155.8816629,12672,14889,13014,12237,8422,4.748814603,1
23,0,6.0,69.025,117.1942299,16468,15270,11884,14371,12861,4.651191764,1
24,1,4.0,39.79,124.2549806,8906,8264,5844,8563,8735,4.330301563,1
24,0,4.0,51.77,151.5669039,12388,10000,9799,10296,9892,4.563129557,1
25,1,3.5,31.55,130.5255019,7199,6152,3671,7985,7364,4.566364743,1
25,0,3.5,51.72,168.0452566,12611,15811,8221,9655,7781,4.638555432,1
26,1,2.5,104.115,107.3297475,23129,22988,12980,26975,22205,4.371824589,1
26,0,2.5,79.42,116.1274759,25584,14149,14261,15480,15322,4.176998588,1
27,1,6.5,26.56,185.733882,7958,6032,2034,4785,6879,5.974079375,1
27,0,6.5,21.23,214.6678409,3857,4794,5257,3576,3910,4.260545585,1
28,1,9.0,58.77,153.8314501,15052,10678,9930,13287,12495,4.148984093,1
28,0,9.0,82.19,132.2721344,21029,18413,11917,17085,14688,4.400452936,1
29,1,12.0,60.23,146.1737565,14089,15594,11909,13253,10040,4.638654407,1
29,0,12.0,77.965,120.0690873,14573,11920,14207,24960,20615,4.317283541,1
30,1,2.5,29.06,126.0546531,5733,7862,5310,6646,6401,4.440828583,1
30,0,2.5,26.665,296.7398907,4650,5968,5204,5293,2960,4.541997317,1
31,1,2.5,39.775,129.2645094,12151,7617,5335,7275,9615,4.457655635,1
31,0,2.5,37.615,154.3751428,7098,7843,7162,8878,7232,4.224325915,1
32,1,3.0,65.19,140.5792252,15118,17447,9477,15755,12788,4.203145071,1
32,0,3.0,75.415,104.3464113,23208,15740,14302,13196,12857,4.178857842,1
3,1,3.0,19.275,411.4377214,3470,2439,3716,2782,4905,4.884969471,1
3,0,3.0,21.66,227.0710505,6774,2294,4141,4503,6248,5.608706934,1
33,1,3.0,36.695,115.0422886,6262,5465,5779,3594,9769,4.948075572,1
